Resource,Path,Git Org,Git Repository,Misconfigurations,Severity,Policy title,Guideline
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_13,,Ensure App Service Authentication is set on Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-2
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_17,,Ensure the web app has 'Client Certificates (Incoming client certificates)' set,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-7
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_65,,Ensure that App service enables detailed error messages,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/tbdensure-that-app-service-enables-detailed-error-messages
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_66,,Ensure that App service enables failed request tracing,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-failed-request-tracing
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_78,,Ensure FTP deployments are disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-ftp-deployments-are-disabled
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_63,,Ensure that App service enables HTTP logging,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-http-logging
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_18,,Ensure that 'HTTP Version' is the latest if used to run the web app,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-8
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_14,,Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-5
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_16,,Ensure that Register with Azure Active Directory is enabled on App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azr-iam-1
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_71,,Ensure that Managed identity provider is enabled for app services,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-managed-identity-provider-is-enabled-for-app-services
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_222,,Ensure that Azure Web App public network access is disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-63
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_213,,Ensure that App Service configures health check,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-213
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_88,,Ensure that app services use Azure Files,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-app-services-use-azure-files
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_13,,Ensure App Service Authentication is set on Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-2
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_17,,Ensure the web app has 'Client Certificates (Incoming client certificates)' set,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-7
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_65,,Ensure that App service enables detailed error messages,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/tbdensure-that-app-service-enables-detailed-error-messages
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_66,,Ensure that App service enables failed request tracing,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-failed-request-tracing
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_78,,Ensure FTP deployments are disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-ftp-deployments-are-disabled
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_63,,Ensure that App service enables HTTP logging,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-http-logging
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_18,,Ensure that 'HTTP Version' is the latest if used to run the web app,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-8
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_14,,Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-5
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_16,,Ensure that Register with Azure Active Directory is enabled on App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azr-iam-1
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_71,,Ensure that Managed identity provider is enabled for app services,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-managed-identity-provider-is-enabled-for-app-services
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_222,,Ensure that Azure Web App public network access is disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-63
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_213,,Ensure that App Service configures health check,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-213
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_88,,Ensure that app services use Azure Files,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-app-services-use-azure-files
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_13,,Ensure App Service Authentication is set on Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-2
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_17,,Ensure the web app has 'Client Certificates (Incoming client certificates)' set,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-7
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_65,,Ensure that App service enables detailed error messages,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/tbdensure-that-app-service-enables-detailed-error-messages
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_66,,Ensure that App service enables failed request tracing,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-failed-request-tracing
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_78,,Ensure FTP deployments are disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-ftp-deployments-are-disabled
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_63,,Ensure that App service enables HTTP logging,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-http-logging
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_18,,Ensure that 'HTTP Version' is the latest if used to run the web app,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-8
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_14,,Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-5
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_16,,Ensure that Register with Azure Active Directory is enabled on App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azr-iam-1
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_71,,Ensure that Managed identity provider is enabled for app services,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-managed-identity-provider-is-enabled-for-app-services
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_222,,Ensure that Azure Web App public network access is disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-63
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_213,,Ensure that App Service configures health check,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-213
module.as-03.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_88,,Ensure that app services use Azure Files,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-app-services-use-azure-files
module.asp-01.azurerm_service_plan.asp,\..\modules\app_service_plan\main.tf,cli_repo,core,CKV_AZURE_212,,Ensure App Service has a minimum number of instances for failover,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-212
module.asp-01.azurerm_service_plan.asp,\..\modules\app_service_plan\main.tf,cli_repo,core,CKV_AZURE_225,,Ensure the App Service Plan is zone redundant,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-storage-policies/bc-azure-225
module.asp-01.azurerm_service_plan.asp,\..\modules\app_service_plan\main.tf,cli_repo,core,CKV_AZURE_211,,Ensure App Service plan suitable for production use,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-211
module.kv-01.azurerm_key_vault.kv,\..\modules\key_vault\main.tf,cli_repo,core,CKV_AZURE_189,,Ensure that Azure Key Vault disables public network access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-189
module.kv-01.azurerm_key_vault.kv,\..\modules\key_vault\main.tf,cli_repo,core,CKV_AZURE_109,,Ensure that key vault allows firewall rules settings,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-key-vault-allows-firewall-rules-settings
module.kv-01.azurerm_key_vault.kv,\..\modules\key_vault\main.tf,cli_repo,core,CKV_AZURE_110,,Ensure that key vault enables purge protection,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-key-vault-enables-purge-protection
module.kv-01.azurerm_key_vault.kv,\..\modules\key_vault\main.tf,cli_repo,core,CKV_AZURE_42,,Ensure the key vault is recoverable,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-the-key-vault-is-recoverable
module.kv-02.azurerm_key_vault.kv,\..\modules\key_vault\main.tf,cli_repo,core,CKV_AZURE_189,,Ensure that Azure Key Vault disables public network access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-189
module.kv-02.azurerm_key_vault.kv,\..\modules\key_vault\main.tf,cli_repo,core,CKV_AZURE_109,,Ensure that key vault allows firewall rules settings,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-key-vault-allows-firewall-rules-settings
module.kv-02.azurerm_key_vault.kv,\..\modules\key_vault\main.tf,cli_repo,core,CKV_AZURE_110,,Ensure that key vault enables purge protection,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-key-vault-enables-purge-protection
module.kv-02.azurerm_key_vault.kv,\..\modules\key_vault\main.tf,cli_repo,core,CKV_AZURE_42,,Ensure the key vault is recoverable,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-the-key-vault-is-recoverable
module.sql-database-01.azurerm_mssql_database.mssql_database,\..\modules\sql_database\main.tf,cli_repo,core,CKV_AZURE_224,,Ensure that the Ledger feature is enabled on database that requires cryptographic proof and nonrepudiation of data integrity,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/bc-azure-224
module.sql-database-01.azurerm_mssql_database.mssql_database,\..\modules\sql_database\main.tf,cli_repo,core,CKV_AZURE_229,,Ensure the Azure SQL Database Namespace is zone redundant,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-storage-policies/bc-azure-229
module.sql-server-01.azurerm_mssql_server.mssql_server,\..\modules\sql_server\main.tf,cli_repo,core,CKV_AZURE_113,,Ensure that SQL server disables public network access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-sql-server-disables-public-network-access
module.sa-01.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_59,,Ensure that Storage accounts disallow public access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-storage-accounts-disallow-public-access
module.sa-01.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_33,,"Ensure Storage logging is enabled for Queue service for read, write and delete requests",https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/enable-requests-on-storage-logging-for-queue-service
module.sa-01.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_44,,Ensure Storage Account is using the latest version of TLS encryption,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-storage-policies/bc-azr-storage-2
module.sa-01.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_206,,Ensure that Storage Accounts use replication,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-206
module.sa-01.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_190,,Ensure that Storage blobs restrict public access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-190
module.sa-02.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_59,,Ensure that Storage accounts disallow public access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-storage-accounts-disallow-public-access
module.sa-02.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_33,,"Ensure Storage logging is enabled for Queue service for read, write and delete requests",https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/enable-requests-on-storage-logging-for-queue-service
module.sa-02.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_44,,Ensure Storage Account is using the latest version of TLS encryption,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-storage-policies/bc-azr-storage-2
module.sa-02.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_206,,Ensure that Storage Accounts use replication,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-206
module.sa-02.azurerm_storage_account.sa,\..\modules\storage_account\main.tf,cli_repo,core,CKV_AZURE_190,,Ensure that Storage blobs restrict public access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-190
module.kv-01.azurerm_key_vault.kv,\main.tf,cli_repo,core,CKV2_AZURE_32,,Ensure private endpoint is configured to key vault,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-2-32
module.kv-02.azurerm_key_vault.kv,\main.tf,cli_repo,core,CKV2_AZURE_32,,Ensure private endpoint is configured to key vault,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-2-32
module.sql-server-01.azurerm_mssql_server.mssql_server,\main.tf,cli_repo,core,CKV2_AZURE_45,,Ensure Microsoft SQL server is configured with private endpoint,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-2-45
module.sa-01.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_40,,Ensure storage account is not configured with Shared Key authorization,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azure-2-40
module.sa-02.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_40,,Ensure storage account is not configured with Shared Key authorization,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azure-2-40
module.sa-01.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_47,,Ensure storage account is configured without blob anonymous access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azure-2-47
module.sa-02.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_47,,Ensure storage account is configured without blob anonymous access,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azure-2-47
module.sa-01.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_33,,Ensure storage account is configured with private endpoint,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-2-33
module.sa-02.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_33,,Ensure storage account is configured with private endpoint,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-2-33
module.sa-01.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_41,,Ensure storage account is configured with SAS expiration policy,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azure-2-41
module.sa-02.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_41,,Ensure storage account is configured with SAS expiration policy,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azure-2-41
module.sa-01.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_38,,Ensure soft-delete is enabled on Azure storage account,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-2-38
module.sa-02.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_38,,Ensure soft-delete is enabled on Azure storage account,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-2-38
module.sql-server-01.azurerm_mssql_server.mssql_server,\main.tf,cli_repo,core,CKV2_AZURE_2,,Ensure that Vulnerability Assessment (VA) is enabled on a SQL server by setting a Storage Account,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-vulnerability-assessment-va-is-enabled-on-a-sql-server-by-setting-a-storage-account
module.sql-server-01.azurerm_mssql_server.mssql_server,\main.tf,cli_repo,core,CKV_AZURE_24,,Ensure that 'Auditing' Retention is 'greater than 90 days' for SQL servers,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/bc-azr-logging-3
module.sql-server-01.azurerm_mssql_server.mssql_server,\main.tf,cli_repo,core,CKV_AZURE_23,,Ensure that 'Auditing' is set to 'On' for SQL servers,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/bc-azr-logging-2
module.sa-01.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_1,,Ensure storage for critical data are encrypted with Customer Managed Key,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-storage-for-critical-data-are-encrypted-with-customer-managed-key
module.sa-02.azurerm_storage_account.sa,\main.tf,cli_repo,core,CKV2_AZURE_1,,Ensure storage for critical data are encrypted with Customer Managed Key,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-storage-for-critical-data-are-encrypted-with-customer-managed-key
module.vnet-01.azurerm_virtual_network.vnet,\..\modules\virtual_network\main.tf,cli_repo,core,,,,
module.sql-database-01.azurerm_mssql_database.mssql_database,\main.tf,cli_repo,core,,,,
azurerm_resource_group.rg,\00-common.tf,cli_repo,core,,,,
azurerm_log_analytics_workspace.law-01,\02-storage.tf,cli_repo,core,,,,
module.ca-01.azurerm_container_app.ca,\..\modules\container_app\main.tf,cli_repo,core,,,,
module.cae-01.azurerm_container_app_environment.cae,\..\modules\container_app_environment\main.tf,cli_repo,core,,,,
